,d3mIndex,RegionName,ZoneName,WoredaName,Year,Epidemic_Week,Month,Total Malaria Confirmed and Clinical,TMalaria_OutP_Cases,TMalaria_InP_Cases,TMalaria_InP_Deaths,TMSuspected Fever Examined,PosMalaria_RDT_or_Microscopy_PF_OutP_Cases,PosMalaria_RDT_or_Microscopy_PV_OutP_Cases,Meningits total Cases,Meningitis_OutP_Cases,Meningitis_InP_Cases,Meningitis_InP_Deaths,Dysentery_total Cases,Dysentery_OutP_Cases,Dysentery_InP_Cases,Dysentery_InP_Deaths,Typhoid fever Total cases,Typhoid fever_OutP_Cases,Typhoid fever_InP_Cases,Typhoid fever_InP_Deaths,Relapsing fever_total Cases,Relapsing fever_OutP_Cases,Relapsing fever_InP_Cases,Relapsing fever_InP_Deaths,Epidemic Typhus Total Cases,Epidemic Typhus_OutP_Cases,Epidemic Typhus_InP_Cases,Epidemic Typhus_InP_Deaths,Malnutrition_total Cases,Malnutrition_OutP_Cases,Malnutrition_InP_Cases,Malnutrition_InP_Deaths,Scabies_OutP_Cases,Scabies_InP_Cases,Scabies_InP_Deaths,AFP/Polio_Cases,AFP/Polio_Deaths,Anthrax_Cases,Anthrax_Deaths,Avian_Human_Influenza_Cases,Avian_Human_Influenza_Deaths,Cholera/AWD_Cases,Cholera/AWD_Deaths,Dracunculiasis/Guinea worm_Cases,Dracunculiasis/Guinea worm_Deaths,Measles_Cases,Measles_Deaths,Neonatal Tetanus_Cases,Neonatal Tetanus_Deaths,Pandemic Influenza_Cases,Pandemic Influenza_Deaths,Rabies_Cases,Rabies_Deaths,SARS_Cases,SARS_Deaths,Small pox_Cases,Small pox_Deaths,Viral hemorrhagic fever_Cases,Viral hemorrhagic fever_Deaths,Yellow fever_Cases,Yellow fever_Deaths,Maternal_Death,Other 1_sc,Other 1_Cases,Other 1_Deaths,Other 2_Name,Other 2_Cases,Other 2_Deaths,Other 3_Name,Other 3_Cases,Other 3_Deaths,No-of-Gov_HPs-expected-by-RHB,No-of-Gov_HCs-expected-by-RHB,No-of-Gov_Hosps-expected-by-RHB,No-of-NGOHF-expected-by-RHB,No-of-OtherHFs-expected-by-RHB,No-of-Gov_HPs-Reported,No-of-Gov_HCs-Reported,No-of-Gov_Hosps-Reported,No-of-NGOHFs-Reported,No-of-OthersHF-Reported,All-Total-sites-Reported,All-Total-sites-Expected-by-RHB,Total-Gov-sites-Reported,Date_Sent,Date_Received,Date_WeekExpected,Timeliness,EthiopianMonth,EthMonNum,EthYear
31045,31045,Oromia,West Wellega,Jarso,2017,33,August,1,1.0,0.0,0.0,29.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,25,22.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,14.0,2.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,16,16,16,24/08/17,24/08/17,8/25/17,T,Nehase,12,2009
62540,62540,Oromia,Bale,Ginir Town,2018,11,March,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,5.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1,3,1,22/03/18,22/03/18,3/23/18,T,Megabit,7,2010
97005,97005,Oromia,Jimma,Guma,2018,41,October,0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,14.0,3.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,17,17,17,18/10/18,18/10/18,10/19/18,T,Teqemt,2,2011
10564,10564,Oromia,East Shewa,Batu,2017,12,March,36,36.0,0.0,0.0,598.0,12.0,24.0,0,0.0,0.0,0.0,9,9.0,0.0,0.0,118,118.0,0.0,0.0,0,0.0,0.0,0.0,10,10.0,0.0,0.0,4,4.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,2.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,11.0,13,13,2,31/03/17,31/03/17,3/31/17,T,Megabit,7,2009
87882,87882,SNNPR,South Omo,Jinka Town,2018,33,August,21,20.0,1.0,0.0,99.0,12.0,9.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,12,12.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,1,3,1,23/08/18,23/08/18,8/24/18,T,Nehase,12,2010
129085,129085,SNNPR,Gurage,Gedebano Gutazer,2019,17,April,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,12.0,0.0,0.0,22,22.0,0.0,0.0,0,0.0,0.0,0.0,12,12.0,0.0,0.0,2,2.0,0.0,0.0,37.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,32.0,5.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,0.0,35,37,35,2/5/19,2/5/19,5/3/19,T,Miyazia,8,2011
110221,110221,Amhara,Centeral  Gondar,Alefa,2019,1,January,120,120.0,0.0,0.0,324.0,91.0,29.0,0,0.0,0.0,0.0,5,5.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,23.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,36.0,5.0,0.0,0.0,2.0,32.0,5.0,0.0,0.0,0.0,37,43,37,10/1/19,10/1/19,1/11/19,T,Tir,5,2011
129729,129729,Amhara,West Gojjam,Gonji Kolela,2019,18,May,5,5.0,0.0,0.0,48.0,5.0,0.0,0,0.0,0.0,0.0,49,49.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,38.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,29.0,6.0,0.0,0.0,0.0,29.0,6.0,0.0,0.0,0.0,35,35,35,9/5/19,9/5/19,5/10/19,T,Ginbot,9,2011
82847,82847,Benishangul-Gumuz,Assosa,Assosa Zone Prison clinic,2018,29,July,9,9.0,0.0,0.0,49.0,0.0,9.0,0,0.0,0.0,0.0,5,5.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27,27.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0,26/07/18,26/07/18,7/27/18,T,Hamle,11,2010
22131,22131,SNNPR,Gurage,Gedebano Gutazer,2017,24,June,2,2.0,0.0,0.0,4.0,0.0,2.0,0,0.0,0.0,0.0,18,18.0,0.0,0.0,22,22.0,0.0,0.0,0,0.0,0.0,0.0,12,12.0,0.0,0.0,12,12.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,32.0,5.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,0.0,31,37,31,22/06/17,22/06/17,6/23/17,T,Sene,10,2009
14439,14439,Oromia,West Shewa,Ambo Hospital,2017,16,April,0,0.0,0.0,0.0,32.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,27/04/17,27/04/17,4/28/17,T,Miyazia,8,2009
17052,17052,Oromia,Bale,Dawe Qachen,2017,19,May,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,7.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,15.0,3.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,17,18,17,18/05/17,18/05/17,5/19/17,T,Ginbot,9,2009
127903,127903,Oromia,West Wellega,Nejo Rural,2019,16,April,3,3.0,0.0,0.0,56.0,2.0,1.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,35.0,5.0,0.0,0.0,0.0,35.0,3.0,0.0,0.0,0.0,38,40,38,25/04/19,25/04/19,4/26/19,T,Miyazia,8,2011
17270,17270,Oromia,South West Shewa,St.Luke Hospital,2017,19,May,2,2.0,0.0,0.0,158.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,11.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,18/05/17,18/05/17,5/19/17,T,Ginbot,9,2009
116736,116736,SNNPR,Sidama,Yaye HSP,2019,6,February,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,4.0,0.0,0.0,60,60.0,0.0,0.0,0,0.0,0.0,0.0,41,41.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,15/02/19,15/02/19,2/15/19,T,Yekatit,6,2011
23057,23057,SNNPR,Gamo Gofa,Melekoza,2017,25,June,9,9.0,0.0,0.0,85.0,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15,15.0,0.0,0.0,0,0.0,0.0,0.0,4,4.0,0.0,0.0,7,3.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,37.0,5.0,0.0,0.0,0.0,37.0,5.0,0.0,0.0,0.0,42,42,42,29/06/17,29/06/17,6/30/17,T,Sene,10,2009
18923,18923,SNNPR,Hawassa Town,Alatyo HSP,2017,21,May,1,1.0,0.0,0.0,21.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,8.0,0.0,0.0,0,0.0,0.0,0.0,12,12.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1,0,2/6/17,2/6/17,6/2/17,T,Ginbot,9,2009
52057,52057,SNNPR,Kefa,Bita,2018,1,January,2,2.0,0.0,0.0,11.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17,17.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,24.0,4.0,0.0,0.0,2.0,24.0,4.0,0.0,0.0,0.0,28,30,28,12/1/18,12/1/18,1/12/18,T,Tir,5,2010
3632,3632,Amhara,Oromiya,Jile Timuga,2017,5,February,9,9.0,0.0,0.0,318.0,5.0,4.0,0,0.0,0.0,0.0,6,6.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,5.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,,0,0,,0,0,19.0,4.0,0.0,0.0,5.0,19.0,4.0,0.0,0.0,5.0,28,28,23,9/2/17,9/2/17,2/10/17,T,Yekatit,6,2009
92997,92997,Somali,Liben,Filtu,2018,37,September,18,18.0,0.0,0.0,10.0,8.0,2.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0,0,,0,0,,0,0,25.0,3.0,0.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,28,28,28,23/09/18,23/09/18,9/21/18,L,Meskerem,1,2011
23374,23374,Afar,Zone 03,Bure Modayitu,2017,26,June,15,15.0,0.0,0.0,38.0,9.0,2.0,0,0.0,0.0,0.0,6,6.0,0.0,0.0,7,7.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,5.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,4.0,3.0,,,,3.0,2.0,,,,5,7,5,7/7/17,7/7/17,7/7/17,T,Sene,10,2009
72321,72321,Somali,Afder,ElKare,2018,19,May,40,40.0,0.0,0.0,22.0,18.0,1.0,0,0.0,0.0,0.0,30,30.0,0.0,0.0,5,5.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,45,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,6.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,8,8,8,18/05/18,18/05/18,5/18/18,T,Ginbot,9,2010
74606,74606,Addis Ababa,Addis Ketema,Addis Ketema Woreda07,2018,22,May,3,3.0,0.0,0.0,3.0,3.0,0.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,38,38.0,0.0,0.0,1,0.0,1.0,0.0,30,30.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,6.0,7,8,1,7/6/18,7/6/18,6/8/18,T,Ginbot,9,2010
115731,115731,SNNPR,South Omo,South Ari,2019,5,January,71,71.0,0.0,0.0,127.0,51.0,19.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12,12.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,5.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,46.0,9.0,0.0,0.0,0.0,46.0,9.0,0.0,,,55,55,55,7/2/19,7/2/19,2/8/19,T,Tir,5,2011
26447,26447,Amhara,North Shewa,Ataye Hospital,2017,29,July,20,20.0,0.0,0.0,137.0,12.0,8.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,7,7.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,27/07/17,27/07/17,7/28/17,T,Hamle,11,2009
55644,55644,Oromia,Bale,Seweyna,2018,5,February,0,0.0,0.0,0.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,30.0,5.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,34,35,34,8/2/18,8/2/18,2/9/18,T,Yekatit,6,2010
129889,129889,Oromia,Buno Bedele,Meko,2019,18,May,0,0.0,0.0,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0,13,13.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,12.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,13,13,13,9/5/19,9/5/19,5/10/19,T,Ginbot,9,2011
14331,14331,Oromia,Jimma,Mancho,2017,16,April,1,1.0,0.0,0.0,24.0,1.0,0.0,0,0.0,0.0,0.0,5,5.0,0.0,0.0,2,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,9,9.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,20.0,6.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,26,26,26,27/04/17,27/04/17,4/28/17,T,Miyazia,8,2009
96183,96183,SNNPR,Gedeo,Bule,2018,40,October,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,46,46.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,51.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,29.0,5.0,0.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,34,34,34,11/10/18,11/10/18,10/12/18,T,Teqemt,2,2011
2711,2711,Amhara,East Gojjam,Motta Hospital,2017,4,January,1,1.0,0.0,0.0,52.0,0.0,0.0,1,0.0,1.0,0.0,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,1.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,2/2/17,2/2/17,2/3/17,T,Tir,5,2009
62304,62304,Amhara,East Gojjam,Dejen,2018,11,March,15,15.0,0.0,0.0,37.0,1.0,14.0,0,0.0,0.0,0.0,3,3.0,0.0,0.0,12,12.0,0.0,0.0,0,0.0,0.0,0.0,13,13.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,21.0,5.0,1.0,0.0,1.0,21.0,5.0,1.0,0.0,1.0,28,28,27,23/03/18,23/03/18,3/23/18,T,Megabit,7,2010
137384,137384,Amhara,Awi,Injebra,2019,25,June,3,3.0,0.0,0.0,76.0,3.0,0.0,0,0.0,0.0,0.0,9,9.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,135,135.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,5.0,8,8,3,27/06/19,27/06/19,6/28/19,T,Sene,10,2011
31699,31699,Oromia,Borena,Yabelo Hospital,2017,34,August,4,4.0,0.0,0.0,10.0,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,1.0,1.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,31/08/17,31/08/17,9/1/17,T,Nehase,12,2009
103090,103090,SNNPR,Sidama,Leku Hospital,2018,46,November,0,0.0,0.0,0.0,130.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,32,32.0,0.0,0.0,0,0.0,0.0,0.0,27,27.0,0.0,0.0,1,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,1,1,1,24/11/18,24/11/18,11/23/18,L,Hedar,3,2011
119662,119662,Oromia,West Arsi,Dodola  Hospital,2019,9,February,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0,0,,0,0,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,7/3/19,7/3/19,3/8/19,T,Yekatit,6,2011
