d3mIndex,Month,State,County,Rate,State - area,County - area,State - coordinate location
0,September,Missouri,Montgomery County,4.2,181533,1313,Point(-92.5 38.5)
1,February,New York,Ontario County,6,1214,1716,Point(-73.94 40.67)
2,November,Virginia,Winchester City,3.8,110862,8430,Point(-79.0 37.5)
3,June,Colorado,Washington County,2.8,269837,2696,Point(-105.5 39.0)
4,April,Kansas,Harper County,4.7,213100,2308,Point(-98.0 38.5)
5,May,Texas,Terry County,4.7,696241,1235,Point(-100.0 31.0)
6,May,Kansas,Russell County,3.8,213100,1091,Point(-98.0 38.5)
7,November,West Virginia,Tucker County,5.7,62755,10495,Point(-80.5 39.0)
8,January,California,Humboldt County,6.7,423970,1146,Point(-120.0 37.0)
9,September,Minnesota,Chisago County,3.4,225163,3637,Point(-94.0 46.0)
10,March,Indiana,Steuben County,4.5,94321,1518,Point(-86.216666666 39.933333333)
11,February,Missouri,Cape Girardeau County,4.8,181533,6253,Point(-92.5 38.5)
12,July,Michigan,Cass County,5.8,250493,2895,Point(-85.58 44.34)
13,September,Illinois,Clinton County,4.2,149998,1616,Point(-89.0 40.0)
14,December,New York,Greene County,5.4,1214,1313,Point(-73.94 40.67)
15,July,Ohio,Montgomery County,5.1,116096,11731,Point(-82.5 40.5)
16,December,Oklahoma,Grant County,2.8,181195,1345,Point(-98.0 35.5)
17,October,Missouri,Macon County,4,181533,575,Point(-92.5 38.5)
18,November,Kansas,Mitchell County,2.5,213100,20627,Point(-98.0 38.5)
19,June,Montana,Carbon County,3.5,381154,691,Point(-110.0 47.0)
20,March,North Carolina,Davie County,4.8,139390,1890,Point(-80.0 35.5)
21,February,Virginia,Franklin City,7.3,110862,2700,Point(-79.0 37.5)
22,September,Indiana,Martin County,3.6,94321,6580,Point(-86.216666666 39.933333333)
23,March,Tennessee,White County,6.7,109247,1849,Point(-86.0 36.0)
24,October,Minnesota,Stevens County,2,225163,1663,Point(-94.0 46.0)
25,September,Texas,Lampasas County,4.3,696241,9020,Point(-100.0 31.0)
26,February,Louisiana,Jefferson Parish,6,135382,12226,Point(-92.0 31.0)
27,December,South Dakota,Meade County,3.2,199729,1274,Point(-100.0 44.5)
28,November,California,Lassen County,6.9,423970,556,Point(-120.0 37.0)
29,May,Missouri,Gentry County,4.4,181533,1543,Point(-92.5 38.5)
30,February,Mississippi,Webster County,7,125443,1253,Point(-90.0 33.0)
31,November,Ohio,Lucas County,4.9,116096,2427,Point(-82.5 40.5)
32,January,Missouri,Ralls County,5.1,181533,2570,Point(-92.5 38.5)
33,July,Louisiana,Caddo Parish,7.5,135382,2465,Point(-92.0 31.0)
34,August,Indiana,Carroll County,4.1,94321,3093,Point(-86.216666666 39.933333333)
35,March,Kansas,Ellis County,3.3,213100,1602,Point(-98.0 38.5)
36,May,Kentucky,Marion County,5.1,104659,1024,Point(-85.0 37.5)
37,October,New York,New York County,4.4,1214,2693,Point(-73.94 40.67)
38,November,Illinois,Jo Daviess County,6,149998,2693,Point(-89.0 40.0)
39,May,Iowa,Floyd County,3.4,145746,2614,Point(-93.0 42.0)
40,July,Arkansas,Randolph County,7.5,137733,2043,Point(-92.2 34.8)
41,October,Alabama,Randolph County,5.3,135765,1170,Point(-86.7 32.7)
42,November,Kansas,Sedgwick County,4.1,213100,952,Point(-98.0 38.5)
43,April,Alabama,Pike County,5.7,135765,697,Point(-86.7 32.7)
44,January,Minnesota,Isanti County,5.9,225163,1381,Point(-94.0 46.0)
45,June,West Virginia,Summers County,6.9,62755,1414,Point(-80.5 39.0)
46,February,Illinois,Whiteside County,6.6,149998,2869,Point(-89.0 40.0)
47,December,Minnesota,Kanabec County,8.1,225163,1826,Point(-94.0 46.0)
48,December,Arkansas,Sebastian County,4.6,137733,1363,Point(-92.2 34.8)
49,July,Texas,Kerr County,4,696241,2138,Point(-100.0 31.0)
50,December,Mississippi,Panola County,9,125443,1053,Point(-90.0 33.0)
51,January,North Carolina,Davidson County,5.7,139390,6623,Point(-80.0 35.5)
52,December,New York,Dutchess County,4,1214,1616,Point(-73.94 40.67)
53,October,Virginia,Fairfax County,3.3,110862,2570,Point(-79.0 37.5)
54,April,Colorado,Baca County,2.3,269837,1235,Point(-105.5 39.0)
55,January,Ohio,Greene County,5.4,116096,1860,Point(-82.5 40.5)
56,December,Maryland,Carroll County,3.6,32133,1636,Point(-76.7 39.0)
57,April,Kentucky,Russell County,10.5,104659,873,Point(-85.0 37.5)
58,July,Oklahoma,Oklahoma County,3.9,181195,583,Point(-98.0 35.5)
59,April,Missouri,Ripley County,8.1,181533,8372,Point(-92.5 38.5)
60,October,Virginia,Gloucester County,3.7,110862,5516,Point(-79.0 37.5)
61,May,Tennessee,Wilson County,4.8,109247,2958,Point(-86.0 36.0)
62,September,Texas,Val Verde County,6.1,696241,2413,Point(-100.0 31.0)
63,July,Colorado,El Paso County,4.7,269837,1108,Point(-105.5 39.0)
64,February,Texas,Knox County,3.3,696241,47031,Point(-100.0 31.0)
65,April,Illinois,Warren County,4.3,149998,452,Point(-89.0 40.0)
66,May,Oklahoma,Logan County,3.9,181195,486,Point(-98.0 35.5)
67,April,Nevada,Nye County,8.9,286380,1976,Point(-117.0 39.0)
68,May,Kentucky,Jessamine County,4.4,104659,688,Point(-85.0 37.5)
69,May,Virginia,King George County,4.9,110862,10641,Point(-79.0 37.5)
70,February,Minnesota,Yellow Medicine County,5.2,225163,1228,Point(-94.0 46.0)
71,October,Tennessee,Cannon County,5.3,109247,571,Point(-86.0 36.0)
72,February,Utah,Kane County,6.7,219653,11652,Point(-111.5 39.5)
73,February,North Dakota,Nelson County,5.4,183108,2149,Point(-100.5 47.5)
74,July,North Carolina,Clay County,6.7,139390,15734,Point(-80.0 35.5)
75,March,Utah,Uintah County,6.3,219653,541,Point(-111.5 39.5)
76,April,Virginia,Halifax County,6.1,110862,584,Point(-79.0 37.5)
77,March,New Mexico,Chaves County,6.2,315194,1023,Point(-106.0 34.0)
78,May,Kentucky,Bracken County,6.2,104659,1400,Point(-85.0 37.5)
79,February,Texas,Williamson County,3.6,696241,2398,Point(-100.0 31.0)
80,September,Iowa,Henry County,3.6,145746,1728,Point(-93.0 42.0)
81,February,Mississippi,Itawamba County,5.8,125443,29056,Point(-90.0 33.0)
82,April,Texas,Archer County,4.1,696241,10812,Point(-100.0 31.0)
83,March,Maryland,Frederick County,4.7,32133,1120,Point(-76.7 39.0)
84,October,Arizona,Apache County,12.4,295234,1398,Point(-111.656944 34.286667)
85,June,Indiana,Johnson County,4.1,94321,807.76,Point(-86.216666666 39.933333333)
86,October,Minnesota,Red Lake County,3.6,225163,2082,Point(-94.0 46.0)
87,October,Missouri,McDonald County,3.6,181533,949,Point(-92.5 38.5)
88,December,Vermont,Addison County,3.2,24923,1108,Point(-72.7 44.0)
89,November,Wisconsin,Florence County,6.8,169640,1116,Point(-89.5 44.5)
90,August,Arkansas,Yell County,5.2,137733,5222,Point(-92.2 34.8)
91,November,Nebraska,Logan County,3.5,200520,1977,Point(-100.0 41.5)
92,October,Kansas,Stanton County,2.5,213100,11168,Point(-98.0 38.5)
93,December,Minnesota,Lyon County,3.6,225163,1317,Point(-94.0 46.0)
94,October,Arkansas,Poinsett County,4.6,137733,2439,Point(-92.2 34.8)
95,October,Washington,Yakima County,6.2,177,4037,Point(-77.036666666 38.895)
96,December,Ohio,Athens County,5.7,116096,1139,Point(-82.5 40.5)
97,April,Iowa,Pocahontas County,2.8,145746,1649,Point(-93.0 42.0)
98,November,Texas,Uvalde County,5.3,696241,5174,Point(-100.0 31.0)
99,June,Iowa,Bremer County,3.6,145746,583,Point(-93.0 42.0)
100,February,Nebraska,Deuel County,2.7,200520,1351,Point(-100.0 41.5)
101,June,Texas,Polk County,6.4,696241,2413,Point(-100.0 31.0)
102,October,Tennessee,Wilson County,4.4,109247,1303,Point(-86.0 36.0)
103,August,Indiana,Porter County,5.1,94321,1616,Point(-86.216666666 39.933333333)
104,December,Virginia,Warren County,4.2,110862,8030,Point(-79.0 37.5)
105,July,Indiana,Boone County,3.6,94321,2246,Point(-86.216666666 39.933333333)
106,May,Missouri,Greene County,4.5,181533,2792,Point(-92.5 38.5)
107,January,Alabama,Elmore County,5.4,135765,939,Point(-86.7 32.7)
108,May,North Dakota,Sargent County,1.5,183108,2957,Point(-100.5 47.5)
109,February,Nebraska,Box Butte County,2.9,200520,5174,Point(-100.0 41.5)
110,July,Pennsylvania,Lebanon County,5,119283,2053,Point(-77.5 41.0)
111,August,North Dakota,Griggs County,1.7,183108,2470,Point(-100.5 47.5)
112,November,Arkansas,Polk County,4.9,137733,1461,Point(-92.2 34.8)
113,October,Iowa,Clayton County,2.9,145746,1198,Point(-93.0 42.0)
114,August,North Carolina,Columbus County,7.8,139390,571,Point(-80.0 35.5)
115,May,Illinois,Christian County,6,149998,1480,Point(-89.0 40.0)
116,March,Nebraska,Gosper County,2.7,200520,2043,Point(-100.0 41.5)
117,October,Texas,Clay County,4.6,696241,2941,Point(-100.0 31.0)
118,May,Ohio,Tuscarawas County,5.1,116096,1406,Point(-82.5 40.5)
119,May,Mississippi,Pike County,7.6,125443,1563,Point(-90.0 33.0)
120,February,Texas,Roberts County,4,696241,3425,Point(-100.0 31.0)
121,January,North Carolina,Nash County,7.5,139390,1566,Point(-80.0 35.5)
122,May,Idaho,Canyon County,4.5,216699,267,Point(-114.0 45.0)
123,November,New York,Cattaraugus County,5.5,1214,1597,Point(-73.94 40.67)
124,June,California,Amador County,6.3,423970,2392,Point(-120.0 37.0)
125,September,Missouri,Worth County,2.6,181533,1453,Point(-92.5 38.5)
126,November,Iowa,Dubuque County,2.9,145746,9568,Point(-93.0 42.0)
127,March,Texas,Sterling County,3.4,696241,1289,Point(-100.0 31.0)
128,August,Tennessee,McNairy County,8.2,109247,886,Point(-86.0 36.0)
129,October,Utah,Grand County,3.6,219653,1731,Point(-111.5 39.5)
130,July,Texas,Brooks County,11.5,696241,2693,Point(-100.0 31.0)
131,April,Illinois,Schuyler County,5,149998,2329,Point(-89.0 40.0)
132,January,Kentucky,Fayette County,4.3,104659,13923,Point(-85.0 37.5)
133,September,North Carolina,Randolph County,5.3,139390,3604,Point(-80.0 35.5)
134,February,Texas,Castro County,3.7,696241,6310,Point(-100.0 31.0)
135,February,Wyoming,Natrona County,4.2,253348,2120,Point(-107.5 43.0)
136,October,New York,Kings County,5.3,1214,1218,Point(-73.94 40.67)
137,January,Virginia,Covington City,8.3,110862,584,Point(-79.0 37.5)
138,April,West Virginia,Lewis County,8.7,62755,452,Point(-80.5 39.0)
139,April,Texas,Refugio County,5.2,696241,1243,Point(-100.0 31.0)
140,August,Missouri,Butler County,6.1,181533,13174,Point(-92.5 38.5)
141,April,Texas,Williamson County,3.1,696241,5174,Point(-100.0 31.0)
142,September,Kentucky,Jessamine County,4,104659,2237,Point(-85.0 37.5)
143,March,Wisconsin,La Crosse County,4.3,169640,3097,Point(-89.5 44.5)
144,May,Hawaii,Hawaii County,4.4,28311,1999,Point(-157.796388888 21.311388888)
145,December,North Carolina,Polk County,4.9,139390,2228,Point(-80.0 35.5)
146,December,New York,Cayuga County,5.2,1214,1060,Point(-73.94 40.67)
147,December,New Jersey,Sussex County,4,22591.4,12786,Point(-74.5 40.0)
148,April,Wisconsin,Richland County,4.2,169640,2574,Point(-89.5 44.5)
149,July,Kansas,Hodgeman County,3.6,213100,1971,Point(-98.0 38.5)
150,July,Louisiana,Saint Helena Parish,9.3,135382,1218,Point(-92.0 31.0)
151,June,South Dakota,Custer County,3.5,199729,2314,Point(-100.0 44.5)
152,May,Texas,Concho County,2.9,696241,2515,Point(-100.0 31.0)
153,April,South Dakota,Ziebach County,4.9,199729,1196,Point(-100.0 44.5)
154,October,Pennsylvania,Butler County,3.8,119283,2353,Point(-77.5 41.0)
155,March,Texas,Lynn County,4,696241,1510,Point(-100.0 31.0)
156,February,Virginia,Augusta County,4.7,110862,1619,Point(-79.0 37.5)
157,March,South Carolina,Saluda County,5.3,82931,1877,Point(-81.0 34.0)
158,December,Alabama,Dallas County,9,135765,2027,Point(-86.7 32.7)
159,June,Minnesota,Mahnomen County,5.8,225163,8925,Point(-94.0 46.0)
160,May,Kansas,Haskell County,2.8,213100,2620,Point(-98.0 38.5)
161,October,Pennsylvania,Franklin County,4.3,119283,1414,Point(-77.5 41.0)
162,February,Pennsylvania,Schuylkill County,6.9,119283,740,Point(-77.5 41.0)
163,February,New Mexico,Hidalgo County,6.7,315194,1228,Point(-106.0 34.0)
164,February,Louisiana,Sabine Parish,7.2,135382,3203,Point(-92.0 31.0)
165,January,Virginia,Botetourt County,4.8,110862,10495,Point(-79.0 37.5)
166,November,Virginia,King William County,3.6,110862,859,Point(-79.0 37.5)
167,February,Virginia,Hanover County,4.3,110862,1444,Point(-79.0 37.5)
168,November,Texas,Houston County,4.7,696241,1494,Point(-100.0 31.0)
169,February,Nevada,Humboldt County,6.1,286380,2858,Point(-117.0 39.0)
170,September,Tennessee,Bradley County,5.2,109247,1218,Point(-86.0 36.0)
171,April,Pennsylvania,Dauphin County,4.3,119283,3889,Point(-77.5 41.0)
172,October,Kentucky,Adair County,6.4,104659,1118,Point(-85.0 37.5)
173,October,Minnesota,Kittson County,3,225163,1614,Point(-94.0 46.0)
174,September,Kentucky,Butler County,5.2,104659,1016,Point(-85.0 37.5)
175,April,Kentucky,Oldham County,3.6,104659,3280,Point(-85.0 37.5)
176,April,West Virginia,Gilmer County,8.2,62755,1214,Point(-80.5 39.0)
177,September,Minnesota,Marshall County,4.2,225163,657,Point(-94.0 46.0)
178,March,North Carolina,Hoke County,8.1,139390,1700,Point(-80.0 35.5)
179,April,Hawaii,Kauai County,4.2,28311,1413,Point(-157.796388888 21.311388888)
180,September,New Hampshire,Belknap County,2.8,24214,11835,Point(-71.5 44.0)
181,October,Missouri,Howard County,3.6,181533,3802,Point(-92.5 38.5)
182,December,Alabama,Hale County,7.8,135765,1617,Point(-86.7 32.7)
183,February,West Virginia,Hampshire County,7.5,62755,1467,Point(-80.5 39.0)
184,September,Idaho,Lemhi County,5.3,216699,940,Point(-114.0 45.0)
185,February,Ohio,Delaware County,3.7,116096,886,Point(-82.5 40.5)
186,April,Illinois,Edgar County,5.1,149998,2195,Point(-89.0 40.0)
187,October,North Carolina,Pamlico County,5.8,139390,1998,Point(-80.0 35.5)
188,August,Virginia,Isle of Wight County,4.5,110862,851,Point(-79.0 37.5)
189,July,New York,Schuyler County,5.9,1214,14294,Point(-73.94 40.67)
190,February,Virginia,Middlesex County,5.4,110862,945,Point(-79.0 37.5)
191,July,Arkansas,Independence County,6.9,137733,2030,Point(-92.2 34.8)
192,March,North Carolina,Richmond County,7.6,139390,9988,Point(-80.0 35.5)
193,December,Arizona,Yuma County,17.6,295234,929,Point(-111.656944 34.286667)
194,July,North Carolina,Cabarrus County,5.7,139390,2056,Point(-80.0 35.5)
195,October,Indiana,Shelby County,3.9,94321,10495,Point(-86.216666666 39.933333333)
196,November,Texas,Presidio County,10.6,696241,1236,Point(-100.0 31.0)
197,December,Virginia,Bland County,4.8,110862,2238,Point(-79.0 37.5)
198,September,Texas,Ward County,4.7,696241,7023,Point(-100.0 31.0)
199,September,Nevada,Humboldt County,5.8,286380,2259,Point(-117.0 39.0)
200,February,Virginia,Northumberland County,8.9,110862,2895,Point(-79.0 37.5)
201,August,North Dakota,Dunn County,2.2,183108,2282,Point(-100.5 47.5)
202,June,Montana,Cascade County,3.9,381154,8672,Point(-110.0 47.0)
203,April,Maryland,Kent County,5.1,32133,1274,Point(-76.7 39.0)
204,April,Kentucky,Clinton County,7,104659,6545,Point(-85.0 37.5)
205,January,Texas,Fort Bend County,4.2,696241,1266,Point(-100.0 31.0)
206,August,Oklahoma,Carter County,4.4,181195,1790,Point(-98.0 35.5)
207,September,Missouri,Gentry County,3.6,181533,6444,Point(-92.5 38.5)
208,April,Montana,Sheridan County,2,381154,2784,Point(-110.0 47.0)
209,April,Mississippi,Holmes County,10.7,125443,8430,Point(-90.0 33.0)
210,February,Rhode Island,Bristol County,6.2,3144.245565,1430,Point(-71.5 41.7)
211,June,Idaho,Clearwater County,6.9,216699,1289,Point(-114.0 45.0)
212,March,Kansas,Ness County,3.5,213100,5174,Point(-98.0 38.5)
213,April,Iowa,Washington County,3,145746,2087,Point(-93.0 42.0)
214,April,Nebraska,Thomas County,3.5,200520,7754,Point(-100.0 41.5)
215,September,Texas,Brooks County,11.5,696241,6310,Point(-100.0 31.0)
216,January,Wisconsin,Polk County,6.4,169640,2502,Point(-89.5 44.5)
217,May,New York,Onondaga County,5.1,1214,2072,Point(-73.94 40.67)
218,January,Washington,Chelan County,7.5,177,2223,Point(-77.036666666 38.895)
219,April,Missouri,Lewis County,5.1,181533,1644,Point(-92.5 38.5)
220,January,Texas,Llano County,4.8,696241,5974,Point(-100.0 31.0)
221,June,Texas,Yoakum County,4.1,696241,1069,Point(-100.0 31.0)
222,August,Nebraska,Antelope County,2.3,200520,436,Point(-100.0 41.5)
223,July,Ohio,Trumbull County,6.3,116096,1614,Point(-82.5 40.5)
224,October,Texas,King County,2.8,696241,543,Point(-100.0 31.0)
225,October,North Carolina,Forsyth County,5.3,139390,2268,Point(-80.0 35.5)
226,January,Iowa,Wapello County,5.6,145746,1616,Point(-93.0 42.0)
227,February,Illinois,Marshall County,7.1,149998,1440,Point(-89.0 40.0)
228,May,Minnesota,Wadena County,5.2,225163,2277,Point(-94.0 46.0)
229,April,Alabama,Escambia County,6,135765,2548,Point(-86.7 32.7)
230,February,Pennsylvania,Greene County,5.5,119283,944,Point(-77.5 41.0)
231,December,Nebraska,Richardson County,2.9,200520,8030,Point(-100.0 41.5)
232,January,Oklahoma,Tillman County,4.3,181195,571,Point(-98.0 35.5)
233,April,Virginia,Lancaster County,7.2,110862,27549,Point(-79.0 37.5)
234,March,Louisiana,Assumption Parish,7.9,135382,1313,Point(-92.0 31.0)
235,December,Alabama,Elmore County,4.9,135765,1090,Point(-86.7 32.7)
236,March,Indiana,Clay County,5.9,94321,6297,Point(-86.216666666 39.933333333)
237,September,Minnesota,Lincoln County,2.2,225163,1494,Point(-94.0 46.0)
238,April,Missouri,Montgomery County,5.3,181533,3152,Point(-92.5 38.5)
239,November,New Jersey,Mercer County,3.8,22591.4,7257,Point(-74.5 40.0)
240,July,Missouri,Dade County,6,181533,1644,Point(-92.5 38.5)
241,March,Missouri,Barry County,5.7,181533,235,Point(-92.5 38.5)
242,March,Tennessee,Cumberland County,7.7,109247,1796,Point(-86.0 36.0)
243,April,South Dakota,Jackson County,4.8,199729,1326,Point(-100.0 44.5)
244,March,Ohio,Trumbull County,6.9,116096,2780,Point(-82.5 40.5)
245,December,West Virginia,Wirt County,9.3,62755,16039,Point(-80.5 39.0)
246,September,Pennsylvania,Cambria County,5.4,119283,657,Point(-77.5 41.0)
247,November,South Carolina,Pickens County,5.1,82931,2413,Point(-81.0 34.0)
248,September,Texas,McCulloch County,5.6,696241,10641,Point(-100.0 31.0)
249,June,Texas,Brewster County,4.4,696241,2696,Point(-100.0 31.0)
250,June,Iowa,Howard County,3,145746,1053,Point(-93.0 42.0)
251,September,Kentucky,Warren County,4,104659,1453,Point(-85.0 37.5)
252,August,Illinois,Kane County,5.6,149998,18044,Point(-89.0 40.0)
253,November,Kansas,Harper County,3.4,213100,5280,Point(-98.0 38.5)
254,March,South Carolina,Dillon County,8.6,82931,2959,Point(-81.0 34.0)
255,March,Tennessee,McNairy County,9.3,109247,2582,Point(-86.0 36.0)
256,June,Wyoming,Park County,3.6,253348,627,Point(-107.5 43.0)
257,May,Pennsylvania,Union County,4.6,119283,1853,Point(-77.5 41.0)
258,April,Texas,McMullen County,1.8,696241,4682,Point(-100.0 31.0)
259,November,New York,Sullivan County,5,1214,6892,Point(-73.94 40.67)
260,May,Illinois,Massac County,6.9,149998,1327,Point(-89.0 40.0)
261,February,New York,Broome County,7.1,1214,9295,Point(-73.94 40.67)
262,September,Indiana,Hamilton County,2.9,94321,143,Point(-86.216666666 39.933333333)
263,July,Oklahoma,Blaine County,3.7,181195,1303,Point(-98.0 35.5)
264,January,Missouri,Pemiscot County,8.8,181533,2258,Point(-92.5 38.5)
265,March,Nevada,Esmeralda County,4.1,286380,3139,Point(-117.0 39.0)
266,July,Pennsylvania,Philadelphia County,7.8,119283,942,Point(-77.5 41.0)
267,December,Arkansas,Boone County,4.4,137733,4151,Point(-92.2 34.8)
268,March,Texas,Chambers County,4.9,696241,2895,Point(-100.0 31.0)
269,July,Kentucky,Lee County,8.7,104659,2911,Point(-85.0 37.5)
270,May,North Carolina,Gaston County,6.3,139390,2404,Point(-80.0 35.5)
271,June,Utah,Sanpete County,4.6,219653,1614,Point(-111.5 39.5)
272,January,Indiana,Clinton County,5.1,94321,2511,Point(-86.216666666 39.933333333)
273,December,Alabama,Jefferson County,5.6,135765,6769,Point(-86.7 32.7)
274,November,Missouri,Howell County,5.3,181533,5545,Point(-92.5 38.5)
275,June,Iowa,Marshall County,4.4,145746,9876,Point(-93.0 42.0)
276,July,Illinois,Jasper County,6.3,149998,1406,Point(-89.0 40.0)
277,April,California,Plumas County,10.9,423970,2552,Point(-120.0 37.0)
278,October,Utah,Utah County,2.9,219653,1108,Point(-111.5 39.5)
279,November,Montana,Mineral County,9.2,381154,9679,Point(-110.0 47.0)
280,September,North Carolina,Nash County,7,139390,9331,Point(-80.0 35.5)
281,June,Texas,Palo Pinto County,5.5,696241,2478,Point(-100.0 31.0)
282,July,North Dakota,Logan County,2.3,183108,1976,Point(-100.5 47.5)
283,May,Tennessee,Monroe County,6.3,109247,2367,Point(-86.0 36.0)
284,May,Missouri,Madison County,6.8,181533,27549,Point(-92.5 38.5)
285,May,Minnesota,Brown County,4.1,225163,3021,Point(-94.0 46.0)
286,March,Idaho,Minidoka County,4,216699,575,Point(-114.0 45.0)
287,February,Kansas,Wallace County,2.8,213100,1313,Point(-98.0 38.5)
288,November,New Mexico,Lincoln County,5.9,315194,1614,Point(-106.0 34.0)
289,April,Texas,Nueces County,4.4,696241,2832,Point(-100.0 31.0)
290,May,Iowa,Mitchell County,2.7,145746,751,Point(-93.0 42.0)
291,March,Texas,Montgomery County,3.9,696241,27172,Point(-100.0 31.0)
292,January,Tennessee,Marshall County,6.2,109247,902,Point(-86.0 36.0)
293,September,Massachusetts,Plymouth County,5.1,27336,2795,Point(-71.8 42.3)
294,March,Minnesota,Wilkin County,4.1,225163,1031,Point(-94.0 46.0)
295,January,Wyoming,Sweetwater County,4.3,253348,1368,Point(-107.5 43.0)
296,September,Virginia,Prince William County,3.8,110862,2911,Point(-79.0 37.5)
297,September,Idaho,Camas County,3,216699,2311,Point(-114.0 45.0)
298,December,Indiana,Fountain County,6.3,94321,12020,Point(-86.216666666 39.933333333)
299,July,Ohio,Guernsey County,5.9,116096,934,Point(-82.5 40.5)
300,December,Oklahoma,Jefferson County,6.3,181195,465,Point(-98.0 35.5)
